EarthMarsRelay2.Mars.RadPer   EarthMarsRelay2.Earth.RadPer   
48109189.9277989              273704582.9839852              
47787775.76027867             278371340.3955094              
47467374.06653877             283011306.2936996              
47149367.33492829             287619345.3008797              
46834994.31769873             292187756.5028514              
46525370.89320832             296702124.1664496              
46221505.09915466             301143393.4614328              
45924308.33379626             305498056.8451062              
45634603.9839237              309761168.8568358              
45353134.29055749             313932228.0414043              
45080565.98685972             318011151.3641524              
44817495.06831636             321996129.1513041              
44564450.94377851             325883737.0581923              
44321900.14421462             329669403.7139336              
44090249.71824915             333344941.4242307              
43869850.41287117             336895909.7936325              
43660999.71681459             340308544.1556115              
43463944.82925043             343576941.5562539              
43278885.6081626              346700233.9668525              
43105977.54435372             349678683.4459511              
42945334.80332498             352512083.603192               
42797033.3755916              355199218.5795791              
42661114.37480044             357737972.9297135              
42537587.52107642             360124849.2524069              
42426434.84292431             362352881.5459489              
42327614.62864849             364413034.8467998              
42241065.65680611             366300698.2986813              
42166711.73330781             368016227.1456534              
42104466.56021879             369561428.6812761              
42054238.95767105             370938010.330695               
42015938.45607427             372147180.4905578              
41989481.27102449             373189398.6215505              
41974796.66799553             374064186.2075887              
41971833.71790066             374769830.0058216              
41980568.43861335             375304039.4064994              
42001011.31022756             375666741.4005919              
42033215.14576921             375860998.523226               
42077283.29141648             375891043.8732383              
42133378.1241175              375761036.7978543              
42201729.80800622             375474687.0415697              
42282645.26536996             375034920.717548               
42376517.31332347             374443639.0153923              
42483833.91373124             373701934.6996072              
42605187.48161048             372811554.3755879              
42741284.19643506             371777195.1895883              
42892953.26162992             370605991.5102122              
43061156.05940671             369305122.8420793              
43246995.15242595             367881208.4198713              
43451723.08817043             366340380.761592               
43676750.9692835              364687782.3178298              
43923656.75913678             362927033.6001695              
44194193.30054024             361060680.1786822              
44490296.03304576             359091919.133211               
44814090.40138941             357027109.7475336              
45167898.952496               354876037.0682234              
45554248.12106765             352648728.8203275              
45975874.70362068             350353820.0880622              
46435732.02056114             347999141.1936222              
46936995.76201762             345591678.719027               
47483069.50678246             343136461.0400213              
48077589.88991427             340636407.7408417              
48724431.37832388             338094566.2939754              
49427710.58992086             335516695.8957506              
50191790.06593239             332911984.1726936              
51021281.37267677             330291074.2000812              
51921047.37186544             327663575.0406703              
52896203.45330645             325037811.1314654              
53952117.47309618             322421406.9873766              
55094408.08122697             319820584.0018274              
56328941.05564152             317238707.7450837              
57661823.18354902             314677604.8129098              
59099393.14577664             312141139.2400866              
60648208.7651289              309636156.0652124              
62315029.87591743             307171145.053348               
64106795.9599143              304754571.0231143              
66030597.57510946             302393947.5230935              
68093640.48350433             300096027.570441               
70303201.26575418             297866925.1703221              
